Author,Year,Spatial Extent of Records,DOI,Notes
Du et al,2021,"China, Japan, SK, USA",10.1111/eva.13170,
Fennah,1953,China,NA,representative coordinates taken from coordinates of district on Google Maps
Han et al,2008,SK,10.1111/j.1748-5967.2008.00188.x,
Kim et al,2013,"China, Japan, SK",10.1016/j.aspen.2013.07.003,
Kim et al,2021,"China, Japan, SK",10.3390/insects12060539,
Manzoor et al,2021,China,10.1111/aab.12674,representative coordinates taken from coordinates of city on Google Maps
Nakashita et al,2022,"China, Japan, SK, USA",10.1038/s41598-022-05541-z,
Suzuki,2023,Japan,NA,
Xin et al,2020,China,10.1093/ee/nvaa137,
Yang et al,2015,China,10.11865/zs.20150305,representative coordinates taken from coordinates of district on Google Maps
Zhang et al,2019,China,10.3390/insects10100312,
Kamiyama et al,2024,Japan,10.1002/1438-390X.12203,
