name,longitude,latitude,key,country,stateProvince,year,publishingArticle,accessionNum,accessionNum_ND2,accessionNum_ND6
Lycorma delicatula,120.369,36.1206,SDQD1-10,China,"Shibei District, Qingdao, Shandong",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1131,36.1986,SDTA1-10,China,"Taishan District, Taian, Shandong",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,116.2828,40.0253,BJHD1-10,China,"Haidian District, Beijing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,112.4249,37.6661,SXTY1-10,China,"Jinyuan District, Taiyuan, Shanxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,111.4757,35.6569,SXLF1-10,China,"Qvwo Country, Linfen, Shanxi",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,113.7939,33.7066,HNLH1-10,China,"Yancheng District, Luohe, Henan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,108.0737,34.2623,SXYL1-10,China,"Yangling, Xianyang, Shannxi",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,109.4571,36.619,SXYA1-10,China,"Baota District, Yan'an, Shannxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,114.5153,37.9757,HBSJ1-10,China,"Yuhua District, Shijiazhuang, Hebei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,121.4692,31.2323,SHPT1-10,China,"Putuo District, Shanghai",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.2568,36.1679,GSLZ1-10,China,"Honggu District, Lanzhou, Gansu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,102.4873,35.8514,QHXH1-10,China,"Xunhua County, Haidong, Qinghai",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,121.6529,38.9109,LNDL1-10,China,"Zhongshan District, Dalian, Liaoning",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,123.008,41.1044,LNAS1-10,China,"Tiedong District, Anshan, Liaoning",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1804,31.7762,AHHF1-10,China,"Shushan District, Hefei, Anhui",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,118.2682,29.8159,AHHS1-10,China,"Huizhou District, Huangshan, Anhui",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,113.1655,29.3528,HNYY1-10,China,"Yueyanglou District, Yueyang, Hunan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,114.1818,30.6426,HBWH1-10,China,"Dongxihu District, Wuhan, Hubei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,112.1743,32.0106,HBXY1-10,China,"Xiangcheng District, Xiangyang, Hubei",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,104.7313,27.1307,GZHZ1-10,China,"Hezhang Country, Bijie, Guizhou",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,107.9831,26.5808,GZKL1-10,China,"Kaili City, Qiandongnan, Guizhou",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.0832,27.7206,JXZX1-10,China,"Zixi Country, Fuzhou, Jiangxi",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,119.9728,28.4473,ZJLS1-10,China,"Liandu District, Lishui, Zhejiang",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,117.1785,34.1996,JSXZ1-10,China,"Tongshan District, Xuzhou, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,120.1687,33.384,JSYN1-10,China,"Tinghu District, Yancheng, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,118.8242,32.0559,JSNJ1-10,China,"Xuanwu District, Nanjing, Jiangsu",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,106.1324,38.5359,NXYC1-10,China,"Xixia District, Yinchuan, Ningxia",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,106.3381,28.6017,CQJJ1-10,China,"Jiangjin District, Chongqing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,109.0956,31.7711,CQCK1-10,China,"Chengkou District, Chongqing",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.2094,31.4903,SCAB1-10,China,"Li Country, Aba, Sichuan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,103.6751,22.9863,YNPB1-2,China,"Pingbian Country, Honghe, Yunnan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.7267,40.538,USPA1,US,"Kutztown Rd, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.6334,40.3902,USPA2-3,US,"Anthonys Mill Rd, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.9235,40.4325,USPA4,US,"Ontelaunee Township, Berks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.5319,40.1336,USPA5,US,"647 Nutt Road, Chester",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-76.3416,40.3098,USPA6,US,"2208 S 5th Ave, Lebanon",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.1697,40.3246,USPA7,US,"Peace Valley Park, Bucks",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-75.5285,40.4212,USPA8-9,US,"Palm Hill Road, Montgomery",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,-76.0615,40.1449,USPA10,US,"Blue Rock Rd, Lancaster",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.0504,37.5962,KRSL1-10,Korea,"Hoegi dong, Dongdaemun gu, Seoul",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,129.1579,37.4539,KRSK1-10,Korea,"Gyo dong, Samcheog, Gangwon do",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,126.9036,35.1761,KRGJ1-10,Korea,"Yongbong dong, Buk gu, Kwangju",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,129.076,35.2341,KRBS1-10,Korea,"Jangjeon dong, Geumjeong gu, Busan",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.3415,36.3626,KRDJ1-10,Korea,"Gung dong, Yuseong gu, Daejeon",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,127.7423,37.8695,KRCC1-10,Korea,"Seoksa dong, Chuncheon, Gangwon do",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,128.6113,35.8901,KRDQ1-10,Korea,"Daehyeon dong, Buk gu, Daegu",2018,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,136.4172,36.3551,JPIS1-10,Japan,"Futsumachi, Komatsu, Ishikawa, Japan",2017,"Du et al, 2021",NA,NA,NA
Lycorma delicatula,116.23,40,NA,China,Beijing,2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.53,38.94,NA,China,"Guangang, Tianjin",2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,116.58,39.42,NA,China,"Langfang, Hebei",2016,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,121.38,31.24,NA,China,Shanghai,2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,124.37,40.13,NA,China,"Dandong, Liaoning",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,116.95,34.19,NA,China,"Xiaoxian, Anhui",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.2,31.88,NA,China,"Hefei, Anhui",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.17,34.6,NA,China,"Lianyungang, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,118.75,33.1,NA,China,"Nanjing, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,120.32,31.48,NA,China,"Wuxi, Jiangsu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.18,30.63,NA,China,"Wuhan, Hubei",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.3,30.71,NA,China,"Yichang, Hubei",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.6,28.4,NA,China,"Hengfeng, Jiangxi",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,120.12,30.08,NA,China,"Hangzhou, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.72,29.07,NA,China,"Jinhua, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.88,28.45,NA,China,"Lishui, Zhejiang",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.4,27.8,NA,China,"Huairen, Guizhou",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.74,27.89,NA,China,"Meitan, Guizhou",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,109.46,36.61,NA,China,"""Yan'an, Shaanxi""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,108.93,34.35,NA,China,"""Xi'an, Shaanxi""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,105.75,34.58,NA,China,"Tianshui, Gansu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,103.85,36.05,NA,China,"Lanzhou, Gansu",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,117.16,36.17,NA,China,"""Tai’an Shandong""",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,121.38,37.37,NA,China,"Yantai, Shandong",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.65,34.81,NA,China,"Zhengzhou, Henan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,115.37,32.02,NA,China,"Xinyang, Henan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.68,29.02,NA,China,"Changde, Hunan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,111.33,27.65,NA,China,"Loudi, Hunan",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.39,39.01,NA,China,"Shizuishan, Ningxia",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.27,38.47,NA,China,"Yinchuan, Ningxia",2017,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,113.44,33.89,NA,China,"Xuchang, Henan",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,102.81,30.38,NA,China,"""Ya'an Sichuan""",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.64,27.8,NA,China,"Nanping, Fujian",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.46,38.05,NA,China,"Shijiazhuang, Hebei",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,119.5,39.82,NA,China,"Beidaihe, Hebei",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,101.26,21.93,NA,China,"Xishuangbanna, Yunnan",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,112.56,37.67,NA,China,"Taiyuan, Shanxi",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,112.56,36.83,NA,China,"Changzhi, Shanxi",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,106.78,39.23,NA,China,"Wuhai, Inner Mongolia",2018,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,114.36,32.99,NA,China,"Zhumadian, Henan",2019,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,112.56,33.67,NA,China,"Yangling, Shaanxi",2019,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,123,41.12,NA,China,"Anshan, Liaoning",2019,"Xin et al, 2020",NA,NA,NA
Lycorma delicatula,136.7156,36.7659,JPN_IKKH,Japan,"Takamatsu, Kahoku, Ishikawa",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 5 6 , LC6 4 9 2 6 6
Lycorma delicatula,136.6255,36.5946,JPN_IKHS,Japan,"Hakusan, Ishikawa",2010,"Kim et al, 2013",NA,KC4 2 2 3 7 0 , KC4 2 2 3 8 8
Lycorma delicatula,136.6762,36.5722,JPN_IKKZ1,Japan,"Utatsuyama, Kanazawa, Ishikawa",2019,"Nakashita et al, 2022",NA,LC6 4 9 2 5 7 , LC6 4 9 2 6 7
Lycorma delicatula,136.5907,36.5688,JPN_IKKZ2,Japan,"Midori, Kanazawa, Ishikawa",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 5 8 , LC6 4 9 2 6 8
Lycorma delicatula,136.6585,36.5687,JPN_IKKZ3,Japan,"Marunouchi, Kanazawa, Ishikawa",2019,"Nakashita et al, 2022",NA,LC6 4 9 2 5 9 , LC6 4 9 2 6 9
Lycorma delicatula,136.66,36.5656,JPN_IKKZ4,Japan,"Marunouchi, Kanazawa, Ishikawa",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 6 0 , LC6 4 9 2 7 0
Lycorma delicatula,136.4132,36.3555,JPN_IKKM1,Japan,"Shichomachi, Komatsu, Ishikawa",2019,"Nakashita et al, 2022",NA,LC6 4 9 2 6 1 , LC6 4 9 2 7 1
Lycorma delicatula,136.2608,36.1156,JPN_FISK,Japan,"Maruokacho, Sakai, Fukui",2019,"Nakashita et al, 2022",NA,LC6 4 9 2 6 2 , LC6 4 9 2 7 2
Lycorma delicatula,134.2293,34.7348,JPN_OYBZ_W,Japan,"Honami, Bizen, Okayama",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 6 3 , LC6 4 9 2 7 3
Lycorma delicatula,134.2293,34.7348,JPN_OYBZ_B,Japan,"Honami, Bizen, Okayama",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 6 4 , LC6 4 9 2 7 4
Lycorma delicatula,117.2574,31.8602,CHN_AHHF,China,"Shushan District, Hefei, Anhui",2020,"Nakashita et al, 2022",NA,LC6 4 9 2 6 5 , LC6 4 9 2 7 5
Lycorma delicatula,122.12,37.5,SD,China,"Weihai, Shandong",2016,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,116.33,39.96,BJ,China,Beijing,2016,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,114.39,36.1,HN,China,"Anyang, Henan",2016,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,108.08,34.25,SX,China,"Yangling, Shaanxi",2016,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,103.71,36.1,GS,China,"Lanzhou, Gansu",2017,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,117.25,31.86,AH,China,"Hefei, Anhui",2017,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,118.11,29.25,ZJ,China,"Quzhou, Zhejiang",2017,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,117.63,26.26,FJ,China,"Shanming, Fujian",2017,"Zhang et al, 2019",NA,NA,NA
Lycorma delicatula,127.25225,36.733778,KR06-CA,Korea,"Cheonan, CN",2006,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.086694,37.551225,KR07-SL,Korea,Seoul,2007,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.95725,37.397806,KR08-SG,Korea,Seoul and Gyeonggi,2008,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.236139,37.643639,KR09-GG,Korea,Gyeonggi,2009,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.886694,35.481972,KR09-JE,Korea,"Jeongeub, JB",2009,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,128.788639,35.339472,KR09-GB,Korea,Gyeongbuk,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.903361,37.358083,KR09-GW,Korea,Gangwon,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.94425,37.561833,KR10-SL,Korea,Seoul,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.270667,37.791639,KR10-IN,Korea,"Incheon, GG",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.224972,37.617389,KR10-NY,Korea,"Namyangju, GG",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.985194,37.268806,KR10-SW,Korea,"Suwon, GG",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.441528,37.336917,KR10-IC,Korea,"Icheon, GG",2010,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.132556,37.075861,KR10-AS,Korea,"Anseong, GG",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.25225,36.733778,KR10-CA,Korea,"Cheonan, CN",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.768056,36.437722,KR10-CY,Korea,"Cheongyang, CN",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.015306,36.222389,KR10-NS,Korea,"Nonsan, CN",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.719361,35.430778,KR10-GC,Korea,"Gochang, JB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.994639,35.807972,KR10-GJ,Korea,"Gimje, JB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.740222,35.676917,KR10-BA,Korea,"Buan, JB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.931194,35.135222,KR10-KJ,Korea,"Gwangju, JN",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,128.797056,36.541972,KR10-AD,Korea,"Andong, GB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,128.52,36.665556,KR10-YC,Korea,"Yechoen, GB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,128.141861,36.376472,KR10-SJ,Korea,"Sangju, GB",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,127.946417,37.328083,KR11-CW,Korea,"Changwon, GN",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,129.012833,37.241139,KR11-SC,Korea,"Samcheok, GW",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,116.408194,39.904667,CN09-BJ,China,Beijing,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,117.215028,39.120861,CN10-TJ,China,Tianjin,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,121.35775,37.527861,CN11-YT,China,"Yantai, SD",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,121.058,36.949861,CN11-HY,China,"Haiyang, SD",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,120.393583,36.322667,CN11-QD,China,"Qingdao, SD",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,118.546417,35.723861,CN11-LY,China,"Linyi, SD",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,119.471,35.478944,CN11-RZ,China,"Rihzhao, SD",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,119.179694,34.598083,CN11-LG,China,"Lianyungang, JS",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,121.397278,31.623167,CN10-SH,China,Shanghai,2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,121.793722,29.795111,CN10-NB,China,"Ningbo, ZJ",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,121.045861,29.062694,CN10-TT,China,"Tiantai, ZJ",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,119.724722,30.233861,CN10-LA,China,"Linan, ZJ",2010,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,136.625583,36.594667,JP10-HS,Japan,"Hakusan, IK",2005,"Kim et al, 2021",NA,NA,NA
Lycorma delicatula,126.94425,37.561833,SL,Korea,Seoul,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,126.270667,37.791639,IC,Korea,Incheon,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,126.985194,37.268806,SW,Korea,Suwon,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,127.25225,36.733778,CA,Korea,Cheonan,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,126.768056,36.437722,CY,Korea,Cheongyang,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,126.719361,35.430778,GC,Korea,Gochang,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,126.740222,35.676917,BA,Korea,Buan,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,128.797056,36.541972,AD,Korea,Andong,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,128.52,36.665556,YC,Korea,Yechoen,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,127.015306,36.222389,NS,Korea,Nonsan,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,116.408194,39.904667,BJ,China,Beijing,2009,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,117.215028,39.120861,TJ,China,Tianjin,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,120.393583,36.322667,QD,China,Qingdao,2011,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,121.397278,31.623167,SH,China,Shanghai,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,121.793722,29.795111,NB,China,Ningbo,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,121.045861,29.062694,TT,China,Tiantai,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,119.724722,30.233861,LA,China,Linan,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,136.625583,36.594667,HS,Japan,Hakusan,2010,"Kim et al, 2013",NA,NA,NA
Lycorma delicatula,127.453861,36.62775,NA,Korea,"Chungbuk National University, Cheongju",2007,"Han et al, 2008",NA,NA,NA
Lycorma delicatula,137.1646572,36.69867112,NA,Japan,"Kureha Hill, Toyama-shi, Toyama Prefecture",NA,Suzuki 2023,NA,NA,NA
Lycorma delicatula,108.93301,30.28908,NA,China,Lichuan District,1953,Fennah,NA,NA,NA
Lycorma delicatula,108.05119,34.27387,NA,China,"Yangling, Shaanxi Province",2015,"Yang et al, 2015",NA,NA,NA
Lycorma delicatula,119.59975,39.93394,NA,China,"Qinhuangdao, Hebei Province",2015,"Yang et al, 2015",NA,NA,NA
Lycorma delicatula,121.44496,37.46589,NA,China,"Yantai, Shandong Province",2015,"Yang et al, 2015",NA,NA,NA
Lycorma delicatula,117.5163,38.91681,NA,China,"Guan'gang, Tianjin",2015,"Yang et al, 2015",NA,NA,NA
Lycorma delicatula,116.30909,39.9981,NA,China,"Haidian, Beijing",2015,"Yang et al, 2015",NA,NA,NA
Lycorma delicatula,105.32156,34.73682,NA,China,"Gangu County, Gansu",2021,"Manzoor et al, 2021",NA,NA,NA
Lycorma delicatula,116.4070261,39.90050043,NA,China,Beijing City,2021,"Manzoor et al, 2021",NA,NA,NA
Lycorma delicatula,106.2274306,38.49187691,NA,China,"Yinchuan City, Ningxia",2021,"Manzoor et al, 2021",NA,NA,NA
Lycorma delicatula,108.0836639,34.27219518,NA,China,"Yangling District, Shaanxi",2021,"Manzoor et al, 2021",NA,NA,NA
Lycorma delicatula,121.4531589,37.45712934,NA,China,"Yantai City, Shandong",2021,"Manzoor et al, 2021",NA,NA,NA
Lycorma delicatula,136.599306,36.4895,ISHIKAWA 1,Japan,ISHIKAWA,2022,"Kamiyama, 2024",PP566945,NA,NA
Lycorma delicatula,136.599306,36.4895,ISHIKAWA 2,Japan,ISHIKAWA,2023,"Kamiyama, 2024",PP573861,NA,NA
Lycorma delicatula,136.599306,36.4895,ISHIKAWA 3,Japan,ISHIKAWA,2023,"Kamiyama, 2024",PP573862,NA,NA
Lycorma delicatula,136.299694,36.096306,FUKUI 1,Japan,FUKUI,2022,"Kamiyama, 2024",PP577919,NA,NA
Lycorma delicatula,136.299694,36.096306,FUKUI 2,Japan,FUKUI,2023,"Kamiyama, 2024",PP577920,NA,NA
Lycorma delicatula,136.299694,36.096306,FUKUI 3,Japan,FUKUI,2023,"Kamiyama, 2024",PP577921,NA,NA
Lycorma delicatula,136.0595,35.4535,SHIGA 1,Japan,SHIGA,2022,"Kamiyama, 2024",PP646292,NA,NA
Lycorma delicatula,136.0595,35.4535,SHIGA 2,Japan,SHIGA,2023,"Kamiyama, 2024",PP646293,NA,NA
Lycorma delicatula,136.0595,35.4535,SHIGA 3,Japan,SHIGA,2023,"Kamiyama, 2024",PP646294,NA,NA
Lycorma delicatula,135.685611,34.586111,NARA 1,Japan,NARA,2022,"Kamiyama, 2024",PP621567,NA,NA
Lycorma delicatula,135.685611,34.586111,NARA 2,Japan,NARA,2023,"Kamiyama, 2024",PP621568,NA,NA
Lycorma delicatula,135.685611,34.586111,NARA 3,Japan,NARA,2023,"Kamiyama, 2024",PP621569,NA,NA
Lycorma delicatula,134.247,34.731,OKAYAMA 1,Japan,OKAYAMA,2022,"Kamiyama, 2024",PP623103,NA,NA
Lycorma delicatula,134.247,34.731,OKAYAMA 2,Japan,OKAYAMA,2023,"Kamiyama, 2024",PP623104,NA,NA
Lycorma delicatula,134.247,34.731,OKAYAMA 3,Japan,OKAYAMA,2023,"Kamiyama, 2024",PP623105,NA,NA
Lycorma delicatula,134.396111,34.736306,HYOGO 1,Japan,HYOGO,2022,"Kamiyama, 2024",PP599071,NA,NA
Lycorma delicatula,134.396111,34.736306,HYOGO 2,Japan,HYOGO,2023,"Kamiyama, 2024",PP599072,NA,NA
Lycorma delicatula,134.396111,34.736306,HYOGO 3,Japan,HYOGO,2023,"Kamiyama, 2024",PP599073,NA,NA
Lycorma delicatula,136.804111,35.375583,GIFU 1,Japan,GIFU,2023,"Kamiyama, 2024",PP588486,NA,NA
Lycorma delicatula,136.804111,35.375583,GIFU 2,Japan,GIFU,2023,"Kamiyama, 2024",PP588487,NA,NA
Lycorma delicatula,136.804111,35.375583,GIFU 3,Japan,GIFU,2023,"Kamiyama, 2024",PP588488,NA,NA
