Threshold,c1 value,c2 value,c3 value
0.0010034,-1,1e-300,1
0.0010068,-1,1e-299,1
0.0010102,-1,1e-298,1
0.0010136,-1,1e-297,1
0.001017,-1,1e-296,1
0.0010204,-1,1e-295,1
0.0010239,-1,1e-294,1
0.0010274,-1,1e-293,1
0.0010309,-1,1e-292,1
0.0010345,-1,1e-291,1
0.001038,-1,1e-290,1
0.0010416,-1,1e-289,1
0.0010452,-1,1e-288,1
0.0010489,-1,1e-287,1
0.0010526,-1,1e-286,1
0.0010562,-1,1e-285,1
0.00106,-1,1e-284,1
0.0010637,-1,1e-283,1
0.0010675,-1,1e-282,1
0.0010713,-1,1e-281,1
0.0010751,-1,1e-280,1
0.001079,-1,1e-279,1
0.0010828,-1,1e-278,1
0.0010868,-1,1e-277,1
0.0010907,-1,1e-276,1
0.0010947,-1,1e-275,1
0.0010986,-1,1e-274,1
0.0011027,-1,1e-273,1
0.0011067,-1,1e-272,1
0.0011108,-1,1e-271,1
0.0011149,-1,1e-270,1
0.0011191,-1,1e-269,1
0.0011232,-1,1e-268,1
0.0011275,-1,1e-267,1
0.0011317,-1,1e-266,1
0.001136,-1,1e-265,1
0.0011403,-1,1e-264,1
0.0011446,-1,1e-263,1
0.001149,-1,1e-262,1
0.0011534,-1,1e-261,1
0.0011578,-1,1e-260,1
0.0011623,-1,1e-259,1
0.0011668,-1,1e-258,1
0.0011713,-1,1e-257,1
0.0011759,-1,1e-256,1
0.0011805,-1,1e-255,1
0.0011852,-1,1e-254,1
0.0011898,-1,1e-253,1
0.0011946,-1,1e-252,1
0.0011993,-1,1e-251,1
0.0012041,-1,1e-250,1
0.001209,-1,1e-249,1
0.0012138,-1,1e-248,1
0.0012187,-1,1e-247,1
0.0012237,-1,1e-246,1
0.0012287,-1,1e-245,1
0.0012337,-1,1e-244,1
0.0012388,-1,1e-243,1
0.0012439,-1,1e-242,1
0.0012491,-1,1e-241,1
0.0012543,-1,1e-240,1
0.0012595,-1,1e-239,1
0.0012648,-1,1e-238,1
0.0012702,-1,1e-237,1
0.0012756,-1,1e-236,1
0.001281,-1,1e-235,1
0.0012865,-1,1e-234,1
0.001292,-1,1e-233,1
0.0012975,-1,1e-232,1
0.0013032,-1,1e-231,1
0.0013088,-1,1e-230,1
0.0013145,-1,1e-229,1
0.0013203,-1,1e-228,1
0.0013261,-1,1e-227,1
0.001332,-1,1e-226,1
0.0013379,-1,1e-225,1
0.0013439,-1,1e-224,1
0.0013499,-1,1e-223,1
0.001356,-1,1e-222,1
0.0013621,-1,1e-221,1
0.0013683,-1,1e-220,1
0.0013746,-1,1e-219,1
0.0013809,-1,1e-218,1
0.0013872,-1,1e-217,1
0.0013937,-1,1e-216,1
0.0014001,-1,1e-215,1
0.0014067,-1,1e-214,1
0.0014133,-1,1e-213,1
0.00142,-1,1e-212,1
0.0014267,-1,1e-211,1
0.0014335,-1,1e-210,1
0.0014403,-1,1e-209,1
0.0014473,-1,1e-208,1
0.0014543,-1,1e-207,1
0.0014613,-1,1e-206,1
0.0014684,-1,1e-205,1
0.0014756,-1,1e-204,1
0.0014829,-1,1e-203,1
0.0014902,-1,1e-202,1
0.0014977,-1,1e-201,1
0.0015051,-1,1e-200,1
0.0015127,-1,1e-199,1
0.0015204,-1,1e-198,1
0.0015281,-1,1e-197,1
0.0015359,-1,1e-196,1
0.0015437,-1,1e-195,1
0.0015517,-1,1e-194,1
0.0015597,-1,1e-193,1
0.0015679,-1,1e-192,1
0.0015761,-1,1e-191,1
0.0015844,-1,1e-190,1
0.0015928,-1,1e-189,1
0.0016012,-1,1e-188,1
0.0016098,-1,1e-187,1
0.0016184,-1,1e-186,1
0.0016272,-1,1e-185,1
0.001636,-1,1e-184,1
0.001645,-1,1e-183,1
0.001654,-1,1e-182,1
0.0016631,-1,1e-181,1
0.0016724,-1,1e-180,1
0.0016817,-1,1e-179,1
0.0016912,-1,1e-178,1
0.0017007,-1,1e-177,1
0.0017104,-1,1e-176,1
0.0017202,-1,1e-175,1
0.0017301,-1,1e-174,1
0.0017401,-1,1e-173,1
0.0017502,-1,1e-172,1
